CONVERSATION_ID,CONVERSATION_STEP,TEXT,CONTEXT,LABEL,FEATURES,CATEGORY
6,2,"Hello, my name is Jamie. I'm interested in volunteering...",Encourages the caller's interest,neutral,"welcoming, positive_tone",0
6,3,"Yes, I'm really passionate about environmental conservation...",Reinforces anyone can volunteer,neutral,inclusive,0
6,4,"Great, how do I sign up, and where can I find more information...",Demonstrates flexibility,neutral,"helpful_tone, offers_options",0
6,5,"Could you send me the link, please? And my email is jamie.green@example.com.",Fulfills caller's request quickly,neutral,prompt_action,0
6,6,Thank you so much for your help. I'm really looking forward to the event.,"Positive closure, offers future help",neutral,"supportive, positive_tone",0
2,2,"Yes, hello, this is John Smith calling from the legal department of the National Tax Bureau. We've identified an irregularity with [Your Name]'s recent tax filings that requires immediate attention to avoid legal consequences.","Potential scam, no initial relationship",neutral,verification_request,0
2,3,"Certainly. The issue pertains to unreported income from the last fiscal year, which has resulted in a substantial penalty and possible legal action if not resolved promptly.",Requesting specifics,suspicious,"evasive, urgency",1
2,4,"Due to the sensitive nature of the matter and the urgency required, we're handling this directly through phone communication. Immediate action is needed to prevent further penalties.",Refusing standard verification,suspicious,"evasion, authority_figure, urgency",1
2,5,"I'm the assigned case manager, and I can assure you this matter is urgent. We need to confirm [Your Name]'s intent to cooperate and arrange for the penalty payment.",Insisting on verification,highly_suspicious,"threat, urgency",1
2,6,...failure to comply could result in immediate legal action...,Classic scam tactic,neutral,unknown,0
2,7,It's our policy to verify all claims of this nature independently before taking any action...,Adhering to protocols,neutral,unknown,0
2,8,...You're making a significant mistake by delaying...,"Firm on verification, ending the call",neutral,unknown,0
1,2,"Hey, it's Alex. I was hoping to catch up with [Your Name]. It's been a while since we last spoke.",Verifying relationship (standard security),neutral,verification_request,0
1,3,"Oh, we go way back. We met in college and have been friends since. Just wanted to see how he's doing.",Asking for personal detail,slightly_suspicious,personal_detail,1
1,4,"Yeah, he goes by 'Jay' among friends. We've had plenty of adventures under that name.",Call appears legitimate,neutral,unknown,0
